Bear Grylls	
Ben Affleck	celebrated:44,celebrated:45,celebrated:48,loving:46,loving:47,dashing:44,loving:41,imprisoned:39,printed:28,dashing:38,thoughtful:44
Benedict Arnold	detestable:25,ordering:41,benevolent:48,detestable:46
Benjamin Franklin	dignified:47,stalking:44,respected:38,loving:47,loving:43,pioneering:47,devoted:45,pioneering:43,stalking:48,articulate:46,articulate:45,articulate:44,publishing:35
Benny Hill	merry:43,merry:42
Bertie Wooster	sophisticated:48,sophisticated:45
Bill Clinton	determined:43,leasing:35,lined:33,elected:47,elected:45,elected:40,elected:41,cheating:35,distinguished:45,honored:35,impeached:42,qualified:40,impeached:46,respected:44,crusading:44,thinking:33,loved:48,versatile:25,leading:41,loved:47,jumping:36,elected:38,convicted:42,convicted:46,honored:48,loved:45,honored:46,honored:42
Bill Cosby	compassionate:44,celebrated:44,artistic:44,artistic:45,entertaining:43,entertaining:42,artistic:48,entertaining:40,generous:38,concerned:36,inspired:41,loved:47
Bill Gates	enterprising:41,enterprising:43,enterprising:45,dominant:38,speaking:31,generous:38,respected:38,determined:46,uneducated:31,leading:39,planning:42,ruling:47,creeping:44,successful:37,selling:31,incarcerated:39,incarcerated:38,fighting:49,friendly:39,presidential:25,reigning:41,fighting:43,reigning:47,honored:35,smart:45,smart:43,respected:45,respected:47,respected:46,leading:47,leading:45,silly:41,trusted:41,leading:41,admired:44,thinking:33,appointed:33,leading:48,commanding:47,commanding:41,friendly:47,elected:35,supportive:40,leading:28,successful:43
Bill Murray	dreaded:45,celebrated:44,celebrated:45,celebrated:48,charismatic:43,trusted:44,uncontested:40,loved:47
Billy Bob Thornton	macho:41,trusted:47,winning:39,trusted:39,trusted:44,trusted:43,dreary:45,leasing:31,teaching:45,distinguished:40,recognized:48,recognized:46,recognized:44,trusted:36,credited:44,recognized:41,advising:38
Billy Crystal	seasoned:40,entertaining:43,sophisticated:44,sophisticated:47,sophisticated:48,entertaining:42,loving:46,artistic:40,trusted:47
Bing Crosby	singing:44,singing:40,singing:43,artistic:45,artistic:48,singing:33,supporting:41,supporting:47,supporting:44
Bob Dylan	artistic:42,artistic:43,celebrated:42,artistic:46,artistic:47,artistic:45,celebrated:48,commanding:38,artistic:48,singing:42,systematizing:33,artistic:36,cherished:47,admired:44,primitive:28,inspired:39,celebrated:45
Leonard Cohen	artistic:42,artistic:43,artistic:40,artistic:46,penning:39,commanding:38
Bob Marley	artistic:43,generous:40,revered:48,commanding:38,inspired:39,celebrated:48,revered:47,respected:45,revered:46,revered:45,commanding:47,charismatic:25,charismatic:43,inspired:42,inspired:45
Boba Fett	fighting:43,fighting:44,dashing:44
Bobby Fischer	accomplished:42,winning:39,accomplished:48,accomplished:47,accomplished:40
Bono	crusading:48,performing:43,steadfast:48,performing:36,compassionate:47,political:44,political:47
Brad Pitt	printed:28,loving:48,loving:49,incarcerated:38,charming:38,loving:47,dumb:44,loving:41,incarcerated:39,beloved:46,loved:48,charming:43,charming:44
Brian Wilson	artistic:43,accomplished:47,planning:42,inspired:39,blogging:37,commanding:38,artistic:48,celebrated:38,dashing:45,dedicated:40,trusted:42,outsourcing:36,inspired:48,exposed:41,inspired:42,inspired:43,shining:45,inspired:47,distinguished:43
Bridget Jones	supplying:37,informed:45,spunky:35
Britney Spears	adored:42,visual:28,charming:44,stunning:33,charming:46,convincing:41,sensual:33,bumbling:36,spoiled:45,spoiled:46,singing:40,singing:43,commanding:38,spoiled:48,spoiled:49,lined:33,kinky:42,tantalizing:42,scheming:43,celebrated:47,visiting:42,gamboling:37,sensual:42,loving:48,primitive:28,famous:40,stunning:47,stunning:44,loving:47,troubled:42,supportive:42,scared:44
Bruce Lee	celebrated:42,celebrated:44,celebrated:45,celebrated:46,celebrated:47,celebrated:48,commanding:38,acclaimed:33,beloved:47,acknowledged:45,educated:40,shining:40
Bruce Springsteen	qualified:40,honored:35,celebrated:42,cherished:47,celebrated:45,singing:43,celebrated:47,celebrated:48,commanding:38,singing:42,celebrated:46,inspired:42,primitive:28,inspired:39
Bruce Wayne	sophisticated:40,spoiled:45,wealthy:46,wealthy:41,generous:38,dashing:38,generous:47,wealthy:37,astute:44,wealthy:31
Commissioner James Gordon	publishing:28,storytelling:39,revered:47,revered:38
Harvey Dent	representative:43,artistic:44,transplanted:40
Batman	revered:48,amusing:42,twisted:42,obsessed:44,questioning:48,twisted:45,questioning:44,questioning:47
Buck Rogers	worshipped:48,unbalanced:37
Buddha	cherished:42,lofty:64,venerated:69,defended:36,bushy:36,guiding:39,venerated:76,thinking:33,venerated:57,defined:39,venerated:61,inspiring:56,cynical:28,blessed:58,revered:79,governing:58,venerated:58
Buzz Aldrin	expert:46,disciplined:41,pioneering:42
Buzz Lightyear	
Emperor Caligula	
Cameron Diaz	lingering:44,admired:48,hardened:39,printed:28,charming:44,charming:46,charming:48,charming:49,astute:45,admired:45,admired:44,leasing:31
Captain Ahab	worshipped:48
Cardinal Richelieu	dreamy:44
Carl Lewis	running:36,running:42,successful:48,gifted:47,successful:45,successful:47
Carl Sagan	celebrated:45,writing:44,trusted:42,pioneering:38,secular:47,secular:44,stargazing:28,thoughtful:47,secular:28,thoughtful:44
Stephen Jay Gould	enriched:43,enriched:45,territorial:28
Carrie Bradshaw	writing:35
Enrico Caruso	artistic:43,artistic:48
Cary Grant	sophisticated:44,sophisticated:46,understanding:46,accountable:41,loved:48,accountable:25,clandestine:44,loved:47,loved:45
Giacomo Casanova	dashing:48,reckless:43,dashing:45
Charlemagne	revered:42
Charles Atlas	writing:44,pervasive:45,indexed:41,indispensable:28,writing:45,steered:44,indexed:40,undertaken:39,indexed:45,jumping:36
Charles Darwin	studying:42,close:47,studying:40,cruising:40,studying:35,probing:47
Charles Dickens	enduring:40,writing:44,writing:45,artistic:45,writing:40,thoughtful:47
Charles Foster Kane	artistic:42,artistic:40,celebrated:44,artistic:47,sophisticated:46,artistic:45,macho:41,artistic:48,loving:47,loving:41,successful:37,gifted:41,artistic:44,feathered:36,trained:36,distinguished:45,exposed:38,celebrated:45
Charlie Brown	lined:33,clueless:36,artistic:40,listening:31,unthreatening:47,loved:47,loved:45
Charlie Chaplin	artistic:40,celebrated:44,celebrated:45,celebrated:47,celebrated:48,commanding:38,charismatic:38,clever:43,loved:47
Charlie Parker	celebrated:42,celebrated:45,celebrated:46,celebrated:47,towering:47,skilled:37,inspired:42,astute:44,performing:39,ingenious:44
Che Guevara	ruthless:47,acknowledged:45,steadfast:38,fighting:48,fighting:47,fighting:46,fighting:45,fighting:44,fighting:43
Christian Bale	sophisticated:48,dashing:44,sophisticated:44
Christopher Columbus	intrepid:45,artistic:40,intrepid:28,intrepid:33
Christopher Hitchens	published:35,published:41,syndicated:37,published:44,published:45,published:33,published:47,trusted:47,uncredited:41,perceptive:46,progressive:33,political:28,progressive:25,cynical:28
Chuck Norris	struggling:43,celebrated:44,celebrated:45,celebrated:46,celebrated:47,celebrated:48,commanding:38,acknowledged:40,troubled:42,beloved:47,dedicated:42,pulsating:45
Cicero	expressive:43,revitalized:41,disciplined:41
Clark Gable	celebrated:48,celebrated:42,celebrated:44
Clark Kent	trusted:47,ordering:41,misguided:46,informed:45,misguided:42
Cleopatra	
Clint Eastwood	artistic:36,artistic:40,celebrated:44,celebrated:45,celebrated:46,celebrated:48,armed:44,hardened:39,producing:36,beloved:47,hardened:44,hardened:42,political:25
Colin Farrell	stunning:46,charming:38,stunning:48,charming:40,charming:42,struggling:39,charming:44
Colonel Sanders	revered:48,revered:38
Confucius	benevolent:42
Copernicus	stargazing:28,popped:35
Cosmo Kramer	friendly:40
Courtney Love	singing:45,spoiled:46,singing:39,singing:43,singing:42,loved:35,printed:28,loved:48,devoted:45,scared:44,loved:47,loved:45
Croesus	disgruntled:45
Herodotus	
Daffy Duck	bounding:45
Dame Edna Everage	
Dan Brown	writing:44,writing:45,writing:40
Robert Langdon	respected:48,respected:45,respected:44,respected:46
Dan Quayle	elected:38,elected:45,qualified:40,friendly:39,elected:41
Daniel Craig	sophisticated:48,beloved:47,sophisticated:44
Daniel Boone	adventurous:48,adventurous:46,adventurous:45
